r_list,flux_arr,area_arr,error_arr
4.0,434.524422,33.694137,nan
8.0,1021.657374,134.77655,nan
12.0,1469.39421,303.057657,nan
16.0,1795.112551,513.767256,nan
20.0,2055.758715,760.020153,nan
24.0,2286.834224,1051.119932,nan
28.0,2501.527299,1390.158983,nan
32.0,2705.231307,1783.935919,nan
36.0,2914.569278,2254.436514,nan
40.0,3125.153051,2791.917929,nan
44.0,3332.373392,3396.082377,nan
48.0,3531.50222,4049.58878,nan
52.0,3711.289383,4723.998331,nan
56.0,3874.84288,5440.668552,nan
60.0,4028.977208,6223.940196,nan
64.0,4180.676242,7101.765158,nan
68.0,4338.696803,8184.609281,nan
72.0,4489.986832,9363.900528,nan
76.0,4619.292849,10610.583613,nan
80.0,4737.460098,11924.654973,nan
84.0,4851.546204,13306.114608,nan
88.0,4963.40884,14754.694923,nan
92.0,5058.763056,16241.679118,nan
96.0,5141.473458,17781.272945,nan
100.0,5218.05161,19384.983043,nan
104.0,5292.928347,21062.038519,nan
108.0,5379.119107,22839.026188,nan
112.0,5445.811661,24692.005031,nan
116.0,5497.493931,26584.816838,nan
120.0,5545.527931,28528.245973,nan
124.0,5584.203173,30533.733832,nan
128.0,5613.467419,32620.626846,nan
132.0,5635.840204,34808.915664,nan
136.0,5648.612967,37066.422872,nan
140.0,5654.438954,39391.318355,nan
144.0,5658.136595,41783.602112,nan
148.0,5654.45816,44243.274145,nan
152.0,5655.044736,46769.040644,nan
156.0,5648.416456,49320.878202,nan
160.0,5648.193488,51893.610676,nan
164.0,5672.149016,54509.583958,nan
168.0,5725.404537,57178.898259,nan
172.0,5731.248998,59917.339217,nan
176.0,5722.512331,62733.660917,nan
180.0,5716.70768,65495.071212,nan
184.0,5703.690991,68221.16645,nan
188.0,5695.484486,70944.852693,nan
192.0,5684.2162,73683.20595,nan
196.0,5668.463311,76446.194325,nan
200.0,5646.143536,79259.330499,nan
